date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
6/13/2010,Germany,Australia,4,0,FIFA World Cup,Durban,South Africa,TRUE
6/13/2010,Serbia,Ghana,0,1,FIFA World Cup,Pretoria,South Africa,TRUE
6/14/2010,Italy,Paraguay,1,1,FIFA World Cup,Cape Town,South Africa,TRUE
6/14/2010,Japan,Cameroon,1,0,FIFA World Cup,Bloemfontein,South Africa,TRUE
6/14/2010,Netherlands,Denmark,2,0,FIFA World Cup,Johannesburg,South Africa,TRUE
6/15/2010,Brazil,North Korea,2,1,FIFA World Cup,Johannesburg,South Africa,TRUE
6/15/2010,Ivory Coast,Portugal,0,0,FIFA World Cup,Port Elizabeth,South Africa,TRUE
6/15/2010,New Zealand,Slovakia,1,1,FIFA World Cup,Rustenburg,South Africa,TRUE
6/16/2010,Honduras,Chile,0,1,FIFA World Cup,Nelspruit,South Africa,TRUE
6/16/2010,South Africa,Uruguay,0,3,FIFA World Cup,Pretoria,South Africa,FALSE
6/16/2010,Spain,Switzerland,0,1,FIFA World Cup,Durban,South Africa,TRUE
6/17/2010,Argentina,South Korea,4,1,FIFA World Cup,Johannesburg,South Africa,TRUE
6/17/2010,France,Mexico,0,2,FIFA World Cup,Polokwane,South Africa,TRUE
6/17/2010,Greece,Nigeria,2,1,FIFA World Cup,Bloemfontein,South Africa,TRUE
6/18/2010,England,Algeria,0,0,FIFA World Cup,Cape Town,South Africa,TRUE
6/18/2010,Germany,Serbia,0,1,FIFA World Cup,Port Elizabeth,South Africa,TRUE
6/18/2010,Lithuania,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,FALSE
6/18/2010,Slovenia,United States,2,2,FIFA World Cup,Johannesburg,South Africa,TRUE
6/19/2010,Cameroon,Denmark,1,2,FIFA World Cup,Pretoria,South Africa,TRUE
6/19/2010,Estonia,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,TRUE
6/19/2010,Ghana,Australia,1,1,FIFA World Cup,Rustenburg,South Africa,TRUE
6/19/2010,Netherlands,Japan,1,0,FIFA World Cup,Durban,South Africa,TRUE
6/19/2010,Niger,Chad,1,1,Friendly,Niamey,Niger,FALSE
6/19/2010,Northern Mariana Islands,Guam,1,1,Friendly,Susupe,Northern Mariana Islands,FALSE
6/20/2010,Brazil,Ivory Coast,3,1,FIFA World Cup,Johannesburg,South Africa,TRUE
6/20/2010,Italy,New Zealand,1,1,FIFA World Cup,Nelspruit,South Africa,TRUE
6/20/2010,Lithuania,Estonia,2,0,Baltic Cup,Kaunas,Lithuania,FALSE
6/20/2010,Slovakia,Paraguay,0,2,FIFA World Cup,Bloemfontein,South Africa,TRUE
6/20/2010,Sudan,Tunisia,2,6,Friendly,Omdurman,Sudan,FALSE
6/21/2010,Chile,Switzerland,1,0,FIFA World Cup,Port Elizabeth,South Africa,TRUE
6/21/2010,Portugal,North Korea,7,0,FIFA World Cup,Cape Town,South Africa,TRUE
